,Air,Airplane,Alien,Axe,Baby,Beer,Bicycle,Bird,Blood,Book,Bowl,Brain,Butter,Cage,Camera,Car,Castle,Cat,Chain,Chainsaw,Church,Cloud,Cockroach,Community,Computer,Cross,Cup,Death,Devil,Diamond,Dragon,Duck,Dynamite,Electricity,Fence,Film,Fire,Fish,Gold,Grass,Guitar,Gun,Heart,Helicopter,Home,King,Laser,Law,Lightning,Man,Math,Medusa,Money,Monkey,Moon,Mountain,Noise,Nuke,Paper,Peace,Pit,Planet,Platimum,Poison,Police,Porcupine,Power,Prayer,Prince,Princess,Queen,Quicksand,Rain,Rainbow,Robot,Rock,Satan,School,Scissors,Sky,Snake,Spider,Sponge,Sun,Sword,T.V.,Tank,Toilet,Tornado,Train,Tree,Turnip,U.F.O.,Vampire,Video Game,Vulture,Wall,Water,Whip,Wolf,Woman
Monkey,breathes,flies on,infuriates,,scares,chugs,climbs on,scares,,rips up,smashes,has,eats,,,climbs on,,scares,,,climbs,shrieks at,eats,irritates,,climbs,smashes,,,,,scares,,,,rips out,,eats,,sits on,smashes,,,,climbs on,flings poop at,,,,flings poop at,,,shreds,,screeches at,,makes,,rips up,,,lives on,,,flings poop at,,,,flings poop at,flings poop at,flings poop at,,doesn't mind,glares at,,,,,,,,eats,rips up,,,smashes,,goes everywhere but,,climbs on,climbs,eats,shrieks at,irritates,,,,drinks,,enrages,flings poop at
Moon,has no,,houses,,,-shine stronger than,,,,,shaped like,,,,,,,,far above,,,,,,,,-shine in,symbolizes,terrifies,shines like,shines on,,suffocates,has no,far above,in,,,colored,has no,adorns,too far for,-light walk with,too far for,,,too far for,has no,far above,,lander uses,far above,,,,far above,,too far for,,,crater,orbits,colored,,,,visit uses,shines on,,,,far above,far above,far above,lander uses,is giant,confuses,,,adorns,,,,eclipses,adorns,on,far above,has no,far above,,,,houses,,patrol,,far above,has no,far above,,
Mountain,,,,survives,,,,,outlasts,,,,,outlasts,challenges,,taller than,,is too big for,survives,,,,,outlasts,,,transcends,houses,contains,houses,,survives,conducts,taller than,,survives,,contains,,,echoes,stimulates,too high for,,challenges old,too big for,outlasts,attracts,,height,houses,,houses,,,,survives,,stands in,hides,,contains,unaffected by,,houses,represents,,,,,contains,,,too rough for,made of,houses,rises above,unaffected by,fills,houses,,,blocks,unaffected by,,too steep for,,bigger than,,,,,,outlasts,houses,forms,,echoes,,
Noise,permeates,disrupts,attracts,,,inspires,knocks over,scares,,ruins,through,stimulates,melts,,,,,scares,,,disrupts,heard through,kills,annoys,,makes you,through,,louder than,locates,attracts,scares,,,heard over,track in,,locates,locates,in,amplified,,,,,,,,,,wave,,fine costs,,travels to,echoes across,,,heard through,,,heard across,locates,,,,,disrupts,,,,,heard in,spectrum,navigates,,summons,,,,,attracts,envelops,,,on,,of broken,,,in,locates,attracts,annoys,in,,,across,,scares,
Nuke,,,,incinerates,incinerates,,incinerates,,incinerates,,,,,incinerates,incinerates,incinerates,incinerates,incinerates,starts reaction,incinerates,,,,,incinerates,,,causes,,,,incinerates,outclasses,,,,starts,,,,,outclasses,,incinerates,incinerates,incinerates,,breaks,,incinerates,,,,incinerates,,,makes,,,breaks,emerges from,,,incinerates,incinerates,incinerates,,,incinerates,incinerates,incinerates,incinerates,,,,incinerates,,incinerates,incinerates,poisons,incinerates,,,has power of,incinerates,,incinerates,,outclasses,incinerates,incinerates,incinerates,,,,incinerates,incinerates,,incinerates,incinerates,incinerates
Paper,fans,-,disproves,,,label on,,,,,mache,,,,,,,,-,,,fans,,,,,-,,rebukes,receipt for,rebukes,,encases,defines,thrown over,reviews,,,note for,covers,wraps,outlaws,cutout of,about,,,defines,explains,defines,,tests,about,,,-,pile,,defines,,,covers,about,note for,,,,about,contains,,,,floats on,blocks,cutout of,describes,covers,rebukes,,,confetti fills,,,,,wraps,more info than,about,cover on,predicts,,,,disproves,,label for,,,floats on,wraps,,
Peace,cleans,protects,,,protects,,protects,protects,spills no,inspires,cleans,of mind calms,purifies,,,protects,protects,protects,,,be with you,clears,protects,protects,cleans up,be with you,cleans,,,,,protects,,,,allows,,protects,,protects,inspires,,,,protects,comforts,,,,comforts,,,saves,protects,by the light of,,without,,inspires,,,saves,,,keeping,protects,,,comforts,comforts,comforts,,,,,,,,,,protects,protects,cleanses like,,,,,cleans,,protects,chops down,nurtures,,bores,,protects,,,,protects,comforts
Pit,,,,swallows,swallows,,swallows,swallows,contains,,,swallows,,becomes,swallows,swallows,protects,swallows,swallows,swallows,,,houses,threatens,swallows,swallows,,causes,,,,swallows,,,,,contains,contains,,,,swallows,,,wrecks,swallows,,knows no,,swallows,,,,swallows,,,echoes,,,disturbs,,,,engulfs,swallows,swallows,,,swallows,swallows,swallows,,,,,swallows,,endangers,swallows,,swallows,houses,,removes,swallows,,,,,wrecks,prevents,swallows,,,,swallows,protects,,too deep for,swallows,swallows
Planet,,,houses,,,drinks,,,,,decorates,,,,too big for,,,,supports food,survives,,,,,,,decorates,renews,rebukes,creates,rebukes,,survives,conducts,builds,,mantle contains,,creates,,reveres,survives,has many,survives,,,survives,above our,supports,,orbit uses,rebukes,,,,supports,,survives,,,crater is,,creates,,,,has untold,in,,,,supports,develops,diverse as,uses,supports,rebukes,goes to,uses,supports,,,,orbits,survives,watches,survives,,supports,,,,houses,,plays,,supports,supports,moves faster than,,
Platimum,,,,decorates,,,,,outlasts,,,,,coated,pricier than,,funds,,-,resists,,,,,wired,,,outlasts,tempts,,,,survives,conducts,funds,,resists,,pricier than,,,decorates,wins,decorates,,adorns,wired,bribes,conducts,,market uses,enthralls,,hypnotizes,,,,wired,,disturbs,hides in,,,resists,badged,harder than,conducts,,adorns,adorns,adorns,hides in,,,wired,rarer than,,more desirable than,coated,reflects,charms,,,reflects,decorates,,wired,,survives,,,,,,pricier than,attracts,decorates,,resists,,
Poison,can be spread through,endangers,,on,kills,,kills,kills,targets,in,,kills,in,faster than,,impairs use of,endangers,kills,,,endangers,in acid rain,kills,endangers,short-circuits,brings red,,,,,,kills,,,,inspires,,kills,,kills,,,,,endangers,kills,,,,kills,,,costs,kills,by the light of,,makes no,,soaks,ruins,,endangers,,,kills,kills,,,kills,kills,kills,,,,,,,,,,kills,kills,in,,,,,on,,endangers,kills,in,,knocks out,,kills,,,,kills,kills
Police,breathes,flies on,disbelieves,,saves,drinks,recovers,eats,,throws the,eats from,has,eats,,,impounds,,saves,,,patrols,looks at,steps on,protects,,acts,drinks from,,,recovers,disbelieves in,eats,,,,inspires,,eats,,walks on,recovers,,,,protects,,,,,arrests,,,recovers,,looks at,climbs,arrests makers of,,files,,,lives on,,,,,,has a,,,,,works in,looks at,,,disbelieves in,,,,,steps on,cleans with,,,on,,uses,,commandeers,climbs,eats,disbelieves,could be,,,,drinks,,tranquilizes,arrests
Porcupine,breathes,terrorizes,,,pricks,spills,punctures tires of,pricks,,shreds,tips over,has,licks,,,punctures tires of,,pricks,,,scurries into,makes fart,eats,annoys,,makes you,tips over,,,,,pricks,,,,tears,,eats,,eats,sleeps in,,,,scurries into,pricks,,,,pricks,,,shreds,pricks,hunts by,,makes no,,shreds,,,lives on,,,pricks,,,,pricks,pricks,pricks,,hunts despite,looks at,,,,,,,,eats,catches,,,on,,scrubs,,creeps onto,lives in a,eats,,pricks,,pricks,,drinks,,pricks,pricks
Power,,,,gives you the,electrocutes,,outperforms,,sacrifices,,,,,imposes,charges,plant in,seiges,,struggle food,clears with,,,,,crashes,,,of life and,,,,cooks,plants,,,,to,,,,,play with,,deploys,lights,overthrows,charges,imposes,,corrupts,,,,fries,,,makes,charges,,breaks,lights,,,assissinates with,governs,fries,,,supplants,supplants,overthrows,clears,,,,moves,,superintends,charges,lines clutter,hungry,,,of,weilds,,engages,,plant survives,runs,consumes,cooks,,,,hungry,in,,cracks,,corrupts
Prayer,,,,against,,,,,calms,,,,,in,not captured on,,in,,breaks,against,,,,,salvages,,,against,casts out,for,subdues,,against,for low,knows no,,against,,for,,,against,heals,against,,,more accurate than,for fair,faster than,,for,dispels,,confuses,,atop,,against,,brings,in,,for,heals,,protects like,is spiritual,,,,,solidifies,,,routine like,atop,casts out,starts,for sharp,to,rebukes,,,for,against,,against,,against,,,,,,to win,dispels,knows no,,against,,
Prince,breathes,flies on,disbelieves,,sires,drinks,rides,eats,,inspires,eats from,has,eats,,,rides in,,owns,,,attends,looks at,steps on,rules,,wears,drinks from,,,,,eats,,,,inspires,,eats,,walks on,plays,,,,lives in,,,,,rules,,,has,,looks at,climbs,makes,,writes,,,lives on,,,governs,,,in,,rules over,,,walks in,looks at,,,of darkness is,,,,,steps on,owns,,,on,,uses,,rides on,owns,eats,disbelieves,could be,,,,drinks,,tames,rules
Princess,breathes,flies on,disbelieves,,has,drinks,rides,eats,,inspires,eats from,has,eats,,,rides in,,owns,,,attends,looks at,steps on,rules,,acts,drinks from,,,,subdues,eats,,,,inspires,,eats,,walks on,plays,,,,lives in,,,,,rules,,,has,,looks at,climbs,makes,,writes,,,lives on,,,governs,,,in,,,,,walks in,looks at,,,enthralls,,,,,steps on,owns,,,on,,uses,,rides on,owns,eats,disbelieves,could be,,,,drinks,,tames,rules
Queen,breathes,flies on,disbelieves,,has,drinks,rides,eats,,inspires,eats from,has,eats,,,rides in,,owns,,,funds,looks at,steps on,rules,,erects,drinks from,,,,,eats,,,,inspires,,eats,,walks on,rocks,,,,taxes,,,,,rules,,,has,,looks at,bosom is,outlaws,,writes,,,lives on,,,governs,,,in,rules over,rules over,,,walks in,looks at,,,,,,,,steps on,owns,,,on,,uses,,rides on,owns,eats,disbelieves,could be,,,,drinks,,tames,rules
Quicksand,,,,swallows,swallows,,swallows,swallows,suffocates,,,swallows,,surrounds,swallows,swallows,protects,swallows,swallows,swallows,,,swallows,threatens,swallows,,,causes,,,,swallows,,,,,engulfs,swallows,,,,swallows,,,ruins,swallows,,knows no,,swallows,,,,swallows,,,engulfs,,,disturbs,becomes,,,engulfs,swallows,swallows,,,swallows,swallows,swallows,,,,,swallows,,closes,swallows,,swallows,swallows,,removes,swallows,,,,,ruins,topples,swallows,,,,swallows,protects,,too big for,swallows,swallows
Rain,,,drowns,rusts,,,,,,,,,,rusts,ruins,,,,rusts,thwarts use of,,,,,short-circuits,,,makes lonely,drowns,cleans,drowns,,soaks,conducts,rusts,,douses,,cleans,,,rusts,saddens,diverts,,,diffracts,soaks papers explaining,brings,,measured with,drowns,,,,on the,,diverts,,disturbs,fills,,cleans,acidic,,,blacks out,answers,,,,creates,,creates,short-circuits,erodes,drowns,closes,rusts,darkens,,,,blocks,rusts,inspires,falls on,,brings,,,,diverts,,inspires,,leaks through,made of,soaks,,
Rainbow,,,intrigues,resists,,,,,after,,,,,beyond,challenges,,over,,color,over,,,,,colored,,,despite,irritates,indicates,over,,over,wired,over,,over,,points to,,,resists,cheers,over,,,colored,despite,after,,optics use,irritates,,,,over,,after,,indicates,over,,points to,resists,,,-,enhances,,,,over,,,over,over,irritates,over,colored,decorates,colored,,,diffracts,over,,over,,after,,,,attracts,,colored,,hits,,sharp as a,,
Robot,,,,carries,carries off,,,,has no,,,,,bends bars of,has,builds,explores,,breaks,carries,,,,,uses,,,knows no,,,,,throws,uses,,,resists,,,,,fires,envies,pilots,enhances,frightens,shoots,three,shoots,overthrows,,tramples,,scares,,,,launches,,disturbs,climbs out of,,,resists,tramples,steps on,consumes,,frightens,frightens,frightens,detects,,,,hurls,,tramples,carries,pollutes,steps on,,,reflects,carries,,pilots,,chases,builds,,,,,,resists,smashes through,,resists,,carries off
Rock,,,,chips,crushes,,crushes,hits,contains,crushes,,crushes,splatters,crushes the lock of,smashes,smashes windows of,builds,crushes,,dulls,smashes windows of,,squishes,solid,crushes,supports,,indicates,,,,hits,,,,,pounds out,smooshes,,,,,,,builds,crushes,,,,crushes,,,(rare) costs,crushes,,,grinds,,,marks eternal,,,,smashes bottles of,crushes,crushes,,,crushes,crushes,crushes,,,,,,,smashes windows of,smashes,,crushes,squishes,crushes,shades,,,,,,blocks,blocks the roots of,blocks the roots of,,encases,,hits,builds,,,crushes,crushes
Satan,,,,laughs at,,,,,poisons,,,,,escapes,evades,,has,,breaks the,evades,,,,,laughs at,,,after,commands,likes king,commands,,laughs at,doesn't need,knows no,,commands,,tempts with,,,laughs at,darkens,laughs at,,possesses,laughs at,knows no,brings,,good at,commands,,owns,,,,laughs at,,prevents,commands,,tempts with,laughs at,,sharper than,has,,,,possesses,dispels,,,laughs at,hurls,,enthralls,laughs at,darkens,is,,,curses,laughs at,,laughs at,,commands,,,,,,inspires,is soul,knows no,,cracks,,
School,,teaches about,,makes you sharper,teaches,,teaches,teaches about,teaches about,has,,nourishes,kitchen has,is a,,teaches how to use,teaches about,teaches about,,,ignores,teaches about,houses,educates,uses,bans,,,,,,teaches about,,,,shows,,teaches about,,yard has,,,,,away from,teaches about,,,,teaches,,,lunch,teaches about,teaches about,,bell makes,,makes you write,requires,,,,teaches about,trains,teaches about,,,teaches about,teaches about,teaches about,,,,,,,,children use,,teaches about,houses,kitchen has,,,,,has,,makes your brain,yard has,teaches about,,play about,,teaches about,,,,teaches about,teaches
Scissors,swish through,alert security team of,,sharper than,cut the hair of,,stab tyres of,stab,spurt,cut up,,stab,spread,pick lock of,,stab tyres of,carve into,cut hair of,,,carve into,swish through,stab,cut hair of,stab,carve into,,,,,,stab,,,,cut,,gut,,cut,,,,,carve into,cut the hair of,,,,cut the hair of,,,cut up,cut,reflect,,make snipping,,cut,used as a weapon; ends the,,,,more direct than,cut the hair of,stab,,,cut the hair of,cut the hair of,cut the hair of,,,,,,,,,,stab the keys of,stab,cut up,,,,,clog,,trim dress,carve into,cut,,impale,,stab,,,,cut hair of,cut the hair of
Sky,,,,above,above,,above,above,above,,,,,evades,challenges,above,above,above,above,above,,,,,above,,,transcends,,,,above,above,,,,above,,,,,above,,above,above,above,,is limit of,,above,,,,above,,,makes no,,,at,evades,,,above,above,above,,,above,above,above,above,,,,above,,above,above,,above,,,surrounds,above,,above,,houses,above,above,above,,,,above,above,,above,above,above
Snake,breathes,on a,,,scares,spills,entangles,eats eggs of,poisons,swallows,sleeps in,intimidates,eats,,,creeps into,,bites,,,creeps into,not affected by,eats,terrorizes,,climbs,tips over,,,,,eats eggs of,,,,inspires,,eats,,in the,hides in,,,,creeps into,bites,,,,bites,,,swallows,bites,nocturnal with,,rattles,,nests in,,,lives on,,,bites,scares,,,bites,bites,bites,,hunts despite,,,,,,,,,eats,swallows,,,,,hides in,,terrorizes,climbs,swallows,,charms,,hides from,,drinks,,bites,bites
Spider,breathes,creeps into,intrigues,,,in your,,,,behind,hides under,has,crawls across,,,,,,,,creeps into,web like,bigger than,frightens,,crawls up,crawls into,,amuses,eyes like,amuses,,,hides from,crawls over,on,,,colored,in,hides in,,has,,,,dodges,,hides from,,doesn't need,amuses,costs,,lives by,lives on,,survives,crawls across,,,lives on,web like,,,,cause fear; so has,despite,,,,,doesn't mind,unaware of,crawls over,,amuses,,,unaware of,,,nests in,,,crawls across,creeps into,hides in,,,,,undetected by,entertains,in,,,drinks,,,
Sponge,uses pockets of,cleans,intrigues,,,absorbs,,,,soaks,cleans,,sops up,,,,,,cleans,,cleans,denser than,,,,,cleans,,cleanses,cleans,cleanses,,soaks,conducts,cleans,cleans,,,cleans,sits on,cleans,cleans,has no,cleans,,,cleans,,conducts,,doesn't use,cleanses,,,looks like,pile,,cleans,soaks,,cleans,lives on,cleans,,,,has cleaning,answers,,,,floats on,absorbs,creates,cleans,,cleanses,,,cleans,,,,,,bob on,cleans,cleans,cleans after,,,,cleans,,cleans,,,absorbs,,,
Sun,,above,,melts,warms,,shines on,warms,warms,shines in,,warms,melts,heats,ruins,shines on,shines on,warms,,warms the person holding,shines on,burns off,warms,warms,cooks,shines on,,,,,,warms,,,,,made of,warms,,,,,,,warms,warms,,,,warms,,,saves,warms,,,makes no,,shines through,embodies,,,,not affected by,warms,warms,,,warms,warms,warms,,,,,,,shines on,melts,,warms,warms,dries up,,,,,,,shines on,feeds,feeds,,kills,,warms,,,,warms,warms
Sword,,,,outclasses,stabs,,punctures tyres of,stabs,spills,,,chops up,spreads,picks,chops,punctures tyres of,protects,dices,,faster than,defends,,juliennes,protects,smites,serves,,causes,,,,stabs,,,,,(flaming) has,guts,,,,,,,protects,slays,,,,stabs,,,costs,stabs,,,makes,,,breaks,,,,faster than,stabs,stabs,,,slays,slays,slays,,,,,in the stone; nevermind a,,terrorizes,outclasses,,chops up,minces,chops,reflects,,,,,,unhooks cars from,carves,cuts up,,impales,,stabs,scars,,,slices,stabs
T.V.,,,debunks,show,,,,,,,,,,turns room into,-,,about,,stolen despite,airs,,,,,before,,,glorifies,inspires,sharp as,about,,character says,uses,broadcast over,,reports,,wires are,,,glorifies,bad for,news,,,media uses,regulators make,attracts,,tech uses,about,,,,broadcast over,,about,,disturbs,is the,,wires are,is,,,consumes,delivers,,,,time,,color,before,airs,about,teaches,resists,replaces,run by,,,about,about,,guides,,predicts,,,,debunks,,before,,hangs on,,sharp as a,,
Tank,,,,outclasses,squashes,,flattens,squashes,spills,,,,,smashes through,crushes,flattens,seiges,squashes,breaks,outclasses,,,,,flattens,,,brings,,,,squashes,resists,,,,resists,squooshes,,,,has,,outclasses,flattens,squashes,,imposes,,squashes,,,,squishes,,,makes,,,breaks,creates,,,more direct than,outclasses,squashes,,,squashes,squashes,squashes,plows over,,,,crumbles,,crumbles,crushes,,flattens,,,cloud blocks,outclasses,,,,survives,barrels though,knocks down,pulverizes,,,,attracts,crumbles,,outclasses,squashes,squashes
Toilet,spoils,,confuses,,,soon contains,,,,,-,,,,flushes,,,,uses,resists,,,,,,,holds more than,smells of,smells like,hides,confuses,,stinkier than,conducts,can be,,douses,,contains,,-mouthed,resists,good for,need diverts,,,reflects,flushes,attracts,,easier than,less stinky than,,,,holds,,smells like,,,is the,pollutes,colored,,,,has stink,answers,,,,contains,catches,reflects,confuses,hard as,smells of,,,stinks,,,,better without,resists,less offensive than,-,,survives,,,,holds,,disrupts,,more legal than,uses,resists,,
Tornado,,,,sweeps away,sweeps away,,sweeps away,sweeps away,spills,,,confounds,,sweeps away,challenges,sweeps away,destroys,sweeps away,breaks,sweeps away,,,wrecks home of,,destroys,,,causes,,,,sweeps away,,,,,starts,sweeps away,,,,sweeps away,,,destroys,sweeps away,,knows no,,sweeps away,,,,sweeps away,,,makes,,,disturbs,is air,,,sweeps away,sweeps away,sweeps away,,,sweeps away,sweeps away,sweeps away,outclasses,,,,sweeps away,,destroys,sweeps away,,sweeps away,sweeps away,,blocks,sweeps away,,,,,derails,sweeps away,sweeps away,,,,sweeps away,destroys,,sweeps away,sweeps away,sweeps away
Train,pollutes,safer than,intrigues,,,sells,faster than,scares,,contains,carries,requires,contains,,,faster than,,scares,,,cozier than,creates,houses,serves,,travels a-,carries,,amuses,pricier than,outruns,scares,,,crashes through,in,,contains,pricier than,whizzes through,carries,,,,,,,,,,,,costs,,reflects,climbs,makes,,contains,,,travels,pricier than,,,,,answers,,,,,blocks,reflects,,,amuses,,,,,houses,carries,,,has,,has,,,around,contains,attracts,outruns,in,,,plumbs,,scares,
Tree,produces,diverts,ensnares the ship of,,,inspires,,houses,,creates,wood creates,has no,outlasts,,,,,traps,,,shades,blocks,shelters,beautifies,,builds,wood creates,,imprisons,roots hide,shelters,shelters,,conducts,taller than,in,,shelters,roots hide,grows in,wood creates,,has no,,,,,,,,doesn't need,,doesn't grow,,blocks,grows on,,,creates,,,grows on,roots hide,,,,,shelters,,,,,loves,blocks,taller than,,imprisons,,,,,houses,outlives,,,on,,becomes,,,,taller than,ensnares,hides,wiser than,,,drinks,,shelters,
Turnip,odorizes,in the meal on,disgusts,,,falls in,,thrown at,,recipe,stains,has no,in,,,,,thrown at,,,thrown at,gas,squashes,feeds,,roots form,stains,,disgusts,roots hide,thrown at,thrown at,,conducts,grows along,stains,,simpler than,roots hide,grows in,thrown at,,good for,,,,,,hides from,,doesn't need,,costs,,grows despite,grows on,,,stains,,,grows on,roots hide,,,,,answers,,,,,loves,flavor,thrown at,,disgusts,,,,,squashes,tastier than,,,thrown at,,ends up in,,,,,thrown at,thrown at,healthier than,,,drinks,,thrown at,
U.F.O.,,,carries,resists,,,,,collects,,,,,evades,evades,,flies over,,vaporizes,resists,,,,,uses,,,causes,unaware of,uses,spies on,,resists,uses,flies over,,starts,,made of,,,resists,abducts,evades,,,shoots,breaks physical,shoots,,uses advanced,outclasses,,,,flies over,,steals,,disturbs,flies over,,made of,resists,,vaporizes,uses advanced,despite,,,,flies over,,,commands,vaporizes,unaware of,flies over,resists,flies across,abducts,,,flies to,resists,,flies over,,flies over,,,,,,in,,flies over,,resists,,
Vampire,breathes,flies on,before,,,seduces with,,,,in,discards,,discards,,,,,,escapes,,angers,prefers,,,,,discards,,defines,seduces with,outlives,,survives,conducts,flies over,in,,,owns,walks on,plays,,has immortal,flies,,,survives,,resists,,teaches,outlives,,,lives by,flies over,,survives,writes on,,lives in,legendary across,owns,,,,has great,laughs at,,,,flies over,stalks in,never sees,before,,defines,,,flies in,,,discards,,,on,survives,uses,flies in,,,,before,,in,,,discards,,,
Video Game,,,,has,confuses,,,,glorifies,,,,,mental,has many angles from,,before,,has,has,,,,,on,,,restarts after,,,,,has,uses,,,catches,,,,,uses,affects,has,clutters,has,has,breaks fcc,attracts,entertains,code uses,confuses,,stars,,,,has,,disturbs,mental,,,mental,distracts,resists,consumes,,has,has,has,mental,,,turns you into,soundtrack is,,after,more fun than,simulates,cables,,,replaces,has,,has,,graphics,,,,,,,sold by,simulates,,has,,entertains
Vulture,breathes,flies like,,,eats,spills,flies over,is large,,tears up,tips over,has,eats,,,flies over,,eats,,,flies over,flies above a,eats,annoys,,perches on,tips over,,,,,larger than,,,,shreds,,eats,,lands in,scratches,,,,flies over,eats,,,,eats,,,carries off,eats,hunts by,,makes no,,tears up,,,lives on,,,eats,,,,eats,eats,eats,,hunts despite,looks at,,,,,,,,eats,carries off,,,on,,doesn't need,,flies over,flies over,flies over,spots,delivers to,,,,drinks,,eats,eats
Wall,,,,resists,blocks,,blocks,blocks,shelf holds,shelf holds,,challenges,shelf holds,creates,blocks,blocks,supports,blocks,,too thick for,supports,outlasts,houses,surrounds,(firewall) protects,supports,,,,,,blocks,,,,,blocks,blocks,,,,,,,supports,blocks,,,,blocks,,,costs,blocks,,,blocks,,shelf holds,prevents,,,,not affected by,blocks,blocks,,,blocks,blocks,blocks,,,,,,,supports,shelf holds,,blocks,houses,too big for,shades,,,,,,blocks,blocks roots of,blocks roots of,,blocks,,blocks,,,,blocks,blocks
Water,,,toxic to,rusts,,,,,,,,,,rusts,ruins,,floods,,rusts,floods,,,,,short-circuits,,,causes,drowns,cleans,drowns,,soaks,conducts,rises over,,douses,,cleans,,,rusts,strengthens,short-circuits,,,diffracts,has,attracts,,measured with,drowns,,,,rains on,,short-circuits,,inspires,fills,,cleans,dilutes,,,creates hydro,answers,,,,floats on,,creates,short-circuits,erodes,drowns,leak closes,rusts,reflects,,,,reflects,rusts,damages,short-circuits,,spout,,,,diverts,,damages,,cleans,,soaks,,
Whip,,,,snags,scares,,snags,kills,spills,,,intimidates,,opens,shatters,smashes,breaks into,scares,,snags,frightens,,splatters,threatens,smashes,forces you onto,,causes,,,,kills,,,,,burns like,kills,,,,,,,breaks into,tortures,,,,tortures,,,robs,cracks,,,restricts,,,disturbs,,,,shatters bottles of,thwarts,scares,,,tortures,tortures,tortures,,,,,shatters,,terrorizes,snags,,stronger than,splatters,rips,burns like,snags,,,,,holds up,around,splatters,,thwarts,,scares,marks up,,,drives,tortures
Wolf,breathes,howls at,chases,,,drinks,,chases,,rips up,drinks from,has,eats,,,,,chases,,,disrupts,creates dust,eats,frightens,,acts,knocks over,,bites,swallows,outruns,,,outruns,hops,on,,eats,swallows,in,bites,,has,,,,,,outruns,,doesn't need,outruns,steals,,howls at,lives on,,,rips up,,,lives on,swallows,,,,has,causes,,,,,loves,howls at,outruns,,bites,,,,,eats,rips up,,,on,,doesn't use,,,,,hides from,amuses,ravages,,,drinks,,,
Woman,breathes,flies on,disproves,,has,drinks,rides,owns,,reads,eats from,has,eats,,,drives,,owns,,,attends,looks at,steps on,lives in,,acts,drinks from,,,wears,tempts,eats,,,,watches,,owns,,walks on,plays,,,,lives in,,,,,tempts,,,spends,,aligns with,climbs,makes,,writes,,,lives on,hair colored,,,,,in,,,,,walks in,looks at,,,enthralls,,,,,steps on,cleans with,,,watches,,uses,,rides on,plants,eats,debunks,becomes,,,,drinks,,tames,
